Customers,Depot location,Instance,Beta,Trucks,Objective value,Total truck returns,Total orders collected via depot return,Percentage of orders before departing the depot,Percentage of orders via depot return,TB(s),Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
75,Outside,8,1.0,2,645,8,7.6,19%,81%,1196.4,7.0%,2.8%,0.0%,0.0%,0.0%,0.0%
75,Outside,9,1.0,2,640,12,5.9,5%,95%,773.4,7.5%,0.6%,0.0%,0.0%,0.0%,0.0%
75,Outside,10,1.0,2,658,12,5.6,11%,89%,11.1,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,1,1.0,2,774,12,7.8,6%,94%,675.2,9.4%,0.9%,0.0%,0.0%,0.0%,0.0%
100,Outside,2,1.0,2,760,11,8.4,8%,92%,2449.3,8.3%,1.8%,1.8%,1.8%,1.8%,0.0%
100,Outside,3,1.0,2,745,10,9.0,10%,90%,2368.6,2.6%,2.4%,2.4%,2.4%,0.0%,0.0%
100,Outside,4,1.0,2,768,14,6.8,5%,95%,508.1,7.0%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,5,1.0,2,718,14,6.9,4%,96%,286.4,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,6,1.0,2,764,14,6.8,5%,95%,978.0,11.3%,3.9%,0.0%,0.0%,0.0%,0.0%
100,Outside,7,1.0,2,797,12,7.8,7%,93%,160.4,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,8,1.0,2,755,12,7.7,8%,92%,317.8,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,9,1.0,2,791,12,7.0,16%,84%,206.4,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%
100,Outside,10,1.0,2,745,13,6.5,15%,85%,100.3,5.1%,0.0%,0.0%,0.0%,0.0%,0.0%
